artifact_id,phase,run_id,filename,artifact_type,storage_location,sha256,bytes,immutable,contains_private_data,paper_usage
AR-0019,1.2A,not_applicable,development_cases.jsonl,development_set,repo:evaluator_sets/parser_v2_v1/development_cases.jsonl,bfaeca837ecfe8673df834c5b8a4fc1626f0835c6ae35c0821acf59bd6e4ac27,not_recorded,no,no,public_fixture
AR-0020,0.5A,20260718T184445Z,jlens_feasibility_prompts.jsonl,fit_corpus,repo:data/jlens_feasibility_prompts.jsonl,2e421ed4fc806fe1d7e6e09e2b1dfc946295d8f0cf90a844f06e88c312b09290,not_recorded,no,no,public_fixture
AR-0021,0.5A,20260718T184445Z,j-space-observation-jlens image (operational fix),container_image,acr:acrjspaceobssea0708231738/j-space-observation-jlens,345dde4f70235af3ad2542f79ea1445b66f4f53abe6fd569cd0818b8c4e8db35,2948426977,yes,no,provenance
AR-0022,0.5A,20260718T184445Z,j-space-observation-jlens image (primary),container_image,acr:acrjspaceobssea0708231738/j-space-observation-jlens,d3ffaba4fea1d4ee9b03dc5dd369f5b2c5100c84d183f7a729f609d2187bb22f,2948418771,yes,no,provenance
AR-0023,1.2B,pv2-locked-654f3bb-66588c8b-canon,j-space-observation-parser-eval image,container_image,acr:acrjspaceobssea0708231738/j-space-observation-parser-eval,7ef281187f04692fa17a476c2a3265de051de2300bcd8c3242639b8b4ca6a489,not_recorded,yes,no,provenance
AR-0024,0.5B,20260725T122016Z,04_decision.json,decision,repo:artifacts/phase05b-jlens-saturation/track-a/20260725T122016Z,40e4e9d5d523f72070810f5d4756f380b4c622fdd26d1e3ed0fc42e321801256,2946,no,no,primary_result
AR-0025,0.5B,20260725T122016Z,06_paper_table.csv,metrics,repo:artifacts/phase05b-jlens-saturation/track-a/20260725T122016Z,a2a99017fd21e747f368ba6e9ad2156531054df8596f74c1e7281a34d8ff805f,2235,no,no,table_source
AR-0026,0.5B,20260725T122016Z,07_figure_data.csv,figure_data,repo:artifacts/phase05b-jlens-saturation/track-a/20260725T122016Z,df46ae7a6a5761dfdf796c3466eb2c77e57e0b95e2631e4e54ef9c24fb9b40f7,5426,no,no,figure_source
AR-0027,0.5B,20260725T122016Z,artifact_manifest.json,manifest,repo:artifacts/phase05b-jlens-saturation/track-a/20260725T122016Z,63f7723f61a9fd6332140a469644016f73e41a6152f53db1e01417ff473fbdb5,1516,no,no,provenance
AR-0028,0.5B,20260725T122016Z,jlens_saturation_prompts.jsonl,fit_corpus,repo:data/jlens_saturation_prompts.jsonl@f97ea59c5826d7195602189f9d31f93c91066ee5,41e104efec1cd0e0eebae504cd888e60c4e81f6f8c7774d75c895eac98862b4b,13452,no,no,public_fixture
AR-0029,0.5B,20260725T122016Z,j-space-jlens image,container_image,acr:acrjspaceobssea0708231738/j-space-observation-jlens,a15016dfd025cb4e5dc166638129cc4abf7895cdddbbc1b7638672aab7a3524f,not_recorded,yes,no,provenance
AR-0030,1.2C,phase1-parser-v3-track-c-20260725T114448Z,04_decision.json,decision,repo:artifacts/phase1-parser-v3/track-c/phase1-parser-v3-track-c-20260725T114448Z,9d2f93e65339e21984e4401930482484bfcffc682902d10384fc21f4ceea9ea4,3347,no,no,primary_result
